Serial,Title,Year,Author,Journal,Country/Region,Type,Hydrogen Route,Feedstock,Integrated System,Carbon Capture,Dataset_Original_Entry,Dataset_Size_Numeric,Dataset_Type,Dataset_Notes,ML Algorithms,Optimization Method,Surrogate Model,Dynamic Modelling,TEA,LCA,Uncertainty Quantification,Interpretability Method,Best RÂ²,Key Performance Metric,Research Gap Category
11,Integration of PRO/II simulation and XGBoost ML for predicting hydrogen-rich syngas from air-blown biomass-plastic co-gasification,2026,Victor Hugo Xavier Bernardes;Rubens Gedraite;Nicolas Spogis,International Journal of Hydrogen Energy,Brazil,Original Research,Gasification (Air-blown Co-gasification),Biomass + Plastics,No,No,3000,3000,Simulation,"PRO/II simulation, Latin Hypercube sampling",XGBoost,Optuna Bayesian tuning + DE,Yes,No,No,No,No,SHAP,>0.98,Hâ‚‚ yield; syngas composition; LHV,Experimental validation; dynamic modelling; TEA; hybrid ML; uncertainty
12,ML-aided multi-stage optimization of low-carbon hydrogen via biomass gasification: emission-aware design and cost-efficient feedstock blending,2026,Peerapat Jaiyen;Kitti Kamolram;Amornchai Arpornwichanop,Fuel,Thailand,Original Research,Gasification,Biomass (PEFB; Coconut Shell; Rice Husk),No,No,327,327,Literature,Curated experimental dataset,Extra Trees; GBR; KNN,RandomizedSearchCV + NSGA-II,Yes,No,Partial (Thai supply chain),No,No,SHAP,0.9641 (Hâ‚‚),Hâ‚‚ yield; COâ‚‚ emissions; supply chain blending,Larger datasets; dynamic modelling; global TEA; hybrid ML; uncertainty
13,Machine learning-driven optimization of iron-based oxygen carriers for enhanced hydrogen production from biomass chemical looping gasification,2025,Tianle He;Peixuan Xue;Zongtao Yu,Applications in Energy and Combustion Science,China,Original Research,Gasification (Chemical Looping),Biomass (pine sawdust),No,No,225,225,Experimental,16 publications + new experiments,LR; RF; KNN; XGBoost,Grid search + CV,No,No,No,No,No,SHAP; PDP,0.824,Hâ‚‚ yield; syngas composition,Larger datasets; dynamic modelling; TEA; hybrid ML; uncertainty
14,Advancing hydrogen production from municipal wastewater using AI: A case study of microalgae bioremediation,2026,Fatima Musa Ardo;Azubuike Hope Amadi;Joseph Eneotu,Fuel,Malaysia,Original Research,Biological (Biophotolysis + Fermentation),Wastewater + Microalgae,Yes,No,Experimental cycles,,Experimental,Cycles with varying photoperiods,AI time-series (likely RNN/LSTM),Photoperiod tuning,No,Yes,No,Yes,No,None,MAE ~0.00192,Hâ‚‚ yield; wastewater remediation,Pilot-scale validation; TEA; strain diversity; hybrid ML; long-term stability
15,Design performance assessment and ML-driven optimization of a novel low-carbon urban waste-to-x polygeneration system,2026,Mohammadreza Babaei Khuyinrud;Ali Shokri Kalan;Borhan Pourtalebi,Energy,Iran/Finland/Italy/China/Canada,Original Research,Gasification + Electrolysis + Methanation,MSW + Wastewater,Yes,Yes,Simulation scenarios,,Simulation,Scenario-based dataset,ANN surrogate + MOGWO,MOGWO,Yes,No,No,No,No,Sensitivity analysis,N/A,Energy/exergy efficiency; Hâ‚‚ yield; CHâ‚„ yield,Pilot-scale validation; TEA; alternative CCS; dynamic modelling; uncertainty
16,Machine learning for hydrogen technologies: A comprehensive review of challenges opportunities and emerging trends,2026,Robin van der Laag; Agnese Rizzato;Thomas Bäck;Yingjie Fan,International Journal of Hydrogen Energy,Netherlands,Review,Multiple (SMR; SCWG; Electrolysis; Biological; Photocatalytic),Various (biomass; fossil; algae; microbial),Yes,No,314 studies,,Literature,Systematic review of 314 studies,ANN; CNN; LSTM; RF; GB; SVM; GP; RL; physics-informed ML,GA; PSO; NSGA-II; Bayesian; DE,No,No,No,No,Partial,SHAP; PDP (rare),N/A,Efficiency; safety; predictive maintenance,Standardized reporting; transport/storage focus; physics-informed ML; cross-domain optimization; uncertainty
17,Machine learning and thermodynamic modeling for optimizing hydrogen production via algae-biomass co-gasification,2025,Thanadol Tuntiwongwat;Takashi Yukawa;Thongchai Rohitatisha Srinophakun;Kanit Manatura;Somboon Sukpancharoen;Seyedali Mirjalili,Cleaner Engineering and Technology,Thailand/Japan/Australia/Czech/Hungary,Original Research,Gasification (Co-gasification),Biomass + Algae,Yes,No,3609,3609,Simulation,"Aspen Plus dataset, 24 input features",KNN; SVR; XGB; RF; ANN; DT,RandomizedSearchCV,No,No,No,No,No,SHAP,0.96,Hâ‚‚ yield; syngas LHV,Pilot-scale validation; expanded feedstocks; TEA; hybrid ML; dynamic modelling
18,Exploring ML approaches for biohydrogen production through dark fermentation in wastewater,2025,Ibrahim Shomope;Amaal Abdulraqeb Ali;Muhammad Tawalbeh;Amani Al-Othman;Fares Almomani,International Journal of Hydrogen Energy,UAE/Qatar,Review,Biological (Dark Fermentation),Wastewater substrates,No,No,Literature review,,Review,Literature review of ML in DF,ANN; SVM; RF; KNN; DT; CatBoost; LightGBM; BagXGBoost,None,No,No,No,No,No,None,0.98â€“0.988,Hâ‚‚ yield; fermentation optimization,Standardized datasets; experimental integration; LCA; TEA; hybrid ML; industrial validation
19,Machine learning enables more efficient (nano)catalyst management for biohydrogen production from sewage sludge,2026,Josef Marousek;Beata Gavurova;Anna Marouskova,Renewable Energy,Slovakia/Czech Republic,Original Research,Biological (Dark Fermentation),Sewage sludge,No,No,Experimental dataset (14 scenarios),,Experimental,"14 scenarios, sewage sludge",Random Forest,None,No,No,No,No,No,None,>0.90,Hâ‚‚ yield; stability,Pilot-scale validation; TEA; nanoparticle dose-response; hybrid ML; long-term stability
20,An ensemble learning method to predict a hydrogen production rate in the viable wastewater-hydrogen supply chain network design,2026,Beheshteh Moghadaspoor;Ali Bozorgi-Amiri;Reza Tavakkoli-Moghaddam;Mahdi Bashiri,Energy,Iran/Turkey/Oman/UK,Original Research,Biological (Dark Fermentation),Wastewater,Yes,No,Experimental + literature dataset,,Hybrid,Experimental + literature dataset,Bagging; RF; GB; XGBoost,MILP + e-constraint,No,No,Partial (Iran case study),No,No,SHAP,0.966,Hâ‚‚ production rate; supply chain optimization,Larger datasets; hybrid ML; global TEA; dynamic SC modelling; circular economy integration
21,Integration of grey relational analysis with ML for sucrose anaerobic hydrogen production prediction,2024,Xianze Wang;Yifan Wang;Yu-Yao Tseng;Yidi Gao;Keqing Li;Ming-Hung Wang;Jinghui Wu;Chyi-How Lay;Mingxin Huo,International Journal of Hydrogen Energy,China/Taiwan,Original Research,Biological (Anaerobic Fermentation),Sucrose substrate,No,No,432,432,Experimental,"Continuous-flow reactor, 432 days",SVM; DT; RF; XGBoost; KNN,None,No,No,No,No,No,GRA + Shapley values,0.91,Hâ‚‚ production rate,Multi-feedstock validation; cross-plant datasets; hybrid ML; TEA; dynamic microbial modelling
22,Boosting biohydrogen yield from cheese whey through ML optimization of supplement-assisted dark fermentation,2025,Behrouz Nemati;Mohammadreza Kamali;Sara Zandi;Tejraj M. Aminabhavi;Raf Dewil;Juan M. Corchado;M. Elisabete V. Costa;Isabel Capela,International Journal of Hydrogen Energy,Portugal/Belgium/India/Korea/UK/Spain,Original Research,Biological (Dark Fermentation),Cheese whey,No,No,21,21,Experimental,Batch DF runs,RF + GA,RSM-CCD vs RF-GA,No,No,No,No,No,None,0.95 (approx),Hâ‚‚ yield,Pilot-scale validation; TEA; expanded ML algorithms; larger datasets; microbial stability
23,Leveraging IoT and ML for smart fermentation of amasi: A predictive framework for acidity control,2025,Ismail Adeleke;Oluwafemi Ayodeji Adebo;Nnamdi Nwulu,Journal of Agriculture and Food Research,South Africa,Original Research,Biological (Fermentation),Milk (amasi),No,No,549483 sensor datapoints,549483,Sensor,IoT sensor datapoints,LR; RF; GB; KNN; LSTM; CNN; FNN,None,No,Yes,No,No,No,None,0.9475 (CNN),Acidity prediction; fermentation control,Field-scale validation; multisensor fusion; hybrid ML; TEA; Dairy 4.0 integration
24,Improved estimation of dark fermentation biohydrogen production utilizing CatBoost,2024,Atieh Fahimi Bandpey;Jafar Abdi;Tahere Taghizade Firozjaee,International Journal of Hydrogen Energy,Finland/Iran,Original Research,Biological (Dark Fermentation),Wastewater substrates,No,No,208,208,Literature,Compiled from published DF studies,CatBoost; BagXGBoost; LightGBM; KNN; DT,None,No,No,No,No,No,SHAP,0.98 (train); 0.87 (test),Hâ‚‚ yield,Larger datasets; hybrid ML; pilot-scale validation; dynamic microbial modelling; optimization integration
25,An integrated framework for biohydrogen production optimization using metaheuristics + explainable ML,2025,Van Tuan Dang;Wei-Hsin Chen;Anh Tuan Hoang;M. Olga Guerrero-P ?erez;Enrique Rodríguez-Castellon;María Cruz Lopez-Escalante;Minh Chuong Nguyen;Thi Anh Em Bui;Thanh Hai Truong;Xuan Phuong Nguyen,International Journal of Hydrogen Energy,Vietnam/Taiwan/Korea/Spain,Original Research,Biological (Dark + Photo Fermentation),Sugar-rich biomass,No,No,Dataset from prior studies,,Literature,Dataset adapted from prior studies,SVR; XGBoost; DT,BRO; NRBO; GWO,No,No,No,No,No,SHAP + surrogate trees,0.989 (train); 0.974 (test),Hâ‚‚ yield,Pilot-scale validation; expanded parameters; comparative optimizers; TEA; industrial integration
26,Bioprocess modeling of microalgae in treating domestic wastewater via fermentation to convert pollutants into hydrogen,2025,Suleiman Mousa;Mohammed E. Ali Mohsin,Journal of Molecular Structure,Saudi Arabia,Original Research,Biological (Dark Fermentation + Photo cycles),Wastewater + Microalgae,Yes,No,Experimental dataset,,Experimental,Lab-scale wastewater bioreactors,Modified Monod model (SciPy optimization),None,No,No,No,No,No,None,0.9838,Hâ‚‚ yield; pollutant removal,Pilot-scale validation; alternative supports; hybrid systems; TEA; long-term stability
27,Accurate prediction and screening of Ni-based bimetallic catalysts for hydrogen production from biogas reforming: An interpretable ML study,2026,Wen-ming Zhang;Bin Hu;Bo-yuan Zheng;Ji Liu;Qi Niu;Kai Li;Zhi-mo Fang;Bing Zhang;Qiang Lu,Chemical Engineering Journal,China,Original Research,Biogas Reforming (SR + DR),Biogas (CHâ‚„ + COâ‚‚),No,No,2025 (CH4 conv); 1946 (CO2 conv); 1042 (H2/CO); 610 (stability),,Experimental,"Multi-output counts: 2025, 1946, 1042, 610",RF; MLP,None,No,No,No,No,No,SHAP; ICE; PDP,>0.90,CHâ‚„ conversion; COâ‚‚ conversion; Hâ‚‚/CO ratio; stability,Experimental validation; expanded catalysts; TEA; hybrid ML; uncertainty
28,Turning waste into energy: ML + explainable AI for wastewater-to-hydrogen conversion,2026,Anh Tuan Hoang;Wei-Hsin Chen;M. Olga Guerrero-P ?erez;Enrique-Rodríguez Castellon;María Cruz Lopez-Escalante;Van Nhanh Nguyen;Prabhu Paramasivam;Xuan Phuong Nguyen;Thanh Hai Truong,Energy,Vietnam/Taiwan/Spain/India,Original Research,Biological (Dark Fermentation),Wastewater substrates,No,No,144,144,Literature,Secondary data from published studies,ANN; XGBoost; LR,Bayesian optimization,No,No,No,No,No,SHAP,0.981,Hâ‚‚ yield,Real-time datasets; hybrid ML; pilot-scale validation; TEA; multi-process integration
29,Hydrogen production and pollution mitigation: Enhanced gasification of plastic waste and biomass with ML & storage,2024,Abu Danish Aiman Bin Abu Sofian;Hooi Ren Lim;Kit Wayne Chew;Kuan Shiong Khoo;Inn Shi Tan;Zengling Ma;Pau Loke Show,Environmental Pollution,Malaysia/Singapore/China/Taiwan/UAE,Review,Gasification (Steam; SCWG; Co-gasification),Biomass + Plastics,No,No,Literature review,,Review,"Literature review, ML + storage",LR; KNN; SVM; DT; Ensemble boosting,None,No,No,No,No,No,Statistical metrics (MAE; MSE),0.99 (example study),Hâ‚‚ yield; syngas composition; storage capacity,Pilot-scale co-gasification; hybrid ML; LCA; cost-effective storage; policy frameworks
