Serial,Journal,Author,Code,Category
6,Renewable and Sustainable Energy Reviews,Miao Wang;Le Chen;Dengyu Chen;Kuan Ding;Bin Li;Peng Lv;Xudong Song;Yue Jiao;Qinghua Guo;Guangsuo Yu;Ankui Huang; Juntao Wei,S4,Interpretability/Transparency
6,Renewable and Sustainable Energy Reviews,Miao Wang;Le Chen;Dengyu Chen;Kuan Ding;Bin Li;Peng Lv;Xudong Song;Yue Jiao;Qinghua Guo;Guangsuo Yu;Ankui Huang; Juntao Wei,S0,Unmapped/Other
6,Renewable and Sustainable Energy Reviews,Miao Wang;Le Chen;Dengyu Chen;Kuan Ding;Bin Li;Peng Lv;Xudong Song;Yue Jiao;Qinghua Guo;Guangsuo Yu;Ankui Huang; Juntao Wei,S0,Unmapped/Other
7,Energy,Wende Tian;Shuming Zhang;Shaochen Wang,S1,Novelty/Innovation
7,Energy,Wende Tian;Shuming Zhang;Shaochen Wang,S7,Optimization/Performance
7,Energy,Wende Tian;Shuming Zhang;Shaochen Wang,S7,Optimization/Performance
7,Energy,Wende Tian;Shuming Zhang;Shaochen Wang,S0,Unmapped/Other
7,Energy,Wende Tian;Shuming Zhang;Shaochen Wang,S3,Comprehensiveness
8,Biomass and Bioenergy,Laura C.G. Velandia;Samira Garcia-Freites;Marco Sanjuan,S7,Optimization/Performance
8,Biomass and Bioenergy,Laura C.G. Velandia;Samira Garcia-Freites;Marco Sanjuan,S4,Interpretability/Transparency
8,Biomass and Bioenergy,Laura C.G. Velandia;Samira Garcia-Freites;Marco Sanjuan,S2,Rigor/Validation
8,Biomass and Bioenergy,Laura C.G. Velandia;Samira Garcia-Freites;Marco Sanjuan,S4,Interpretability/Transparency
8,Biomass and Bioenergy,Laura C.G. Velandia;Samira Garcia-Freites;Marco Sanjuan,S0,Unmapped/Other
9,Renewable Energy,Yuyang Hu;Fuchun Yuan;Zhiqiang Yin,S7,Optimization/Performance
9,Renewable Energy,Yuyang Hu;Fuchun Yuan;Zhiqiang Yin,S2,Rigor/Validation
9,Renewable Energy,Yuyang Hu;Fuchun Yuan;Zhiqiang Yin,S0,Unmapped/Other
9,Renewable Energy,Yuyang Hu;Fuchun Yuan;Zhiqiang Yin,S4,Interpretability/Transparency
10,International Journal of Hydrogen Energy,Xu Wang;Qianqian Guo;Shiyang Sun,S7,Optimization/Performance
10,International Journal of Hydrogen Energy,Xu Wang;Qianqian Guo;Shiyang Sun,S2,Rigor/Validation
10,International Journal of Hydrogen Energy,Xu Wang;Qianqian Guo;Shiyang Sun,S4,Interpretability/Transparency
10,International Journal of Hydrogen Energy,Xu Wang;Qianqian Guo;Shiyang Sun,S0,Unmapped/Other
10,International Journal of Hydrogen Energy,Xu Wang;Qianqian Guo;Shiyang Sun,S0,Unmapped/Other
11,International Journal of Hydrogen Energy,Victor Hugo Xavier Bernardes;Rubens Gedraite;Nicolas Spogis,S0,Unmapped/Other
11,International Journal of Hydrogen Energy,Victor Hugo Xavier Bernardes;Rubens Gedraite;Nicolas Spogis,S0,Unmapped/Other
11,International Journal of Hydrogen Energy,Victor Hugo Xavier Bernardes;Rubens Gedraite;Nicolas Spogis,S4,Interpretability/Transparency
11,International Journal of Hydrogen Energy,Victor Hugo Xavier Bernardes;Rubens Gedraite;Nicolas Spogis,S7,Optimization/Performance
11,International Journal of Hydrogen Energy,Victor Hugo Xavier Bernardes;Rubens Gedraite;Nicolas Spogis,S2,Rigor/Validation
12,Fuel,Peerapat Jaiyen;Kitti Kamolram;Amornchai Arpornwichanop,S7,Optimization/Performance
12,Fuel,Peerapat Jaiyen;Kitti Kamolram;Amornchai Arpornwichanop,S2,Rigor/Validation
12,Fuel,Peerapat Jaiyen;Kitti Kamolram;Amornchai Arpornwichanop,S4,Interpretability/Transparency
12,Fuel,Peerapat Jaiyen;Kitti Kamolram;Amornchai Arpornwichanop,S5,Scalability/Industrial Relevance
12,Fuel,Peerapat Jaiyen;Kitti Kamolram;Amornchai Arpornwichanop,S0,Unmapped/Other
13,Applications in Energy and Combustion Science,Tianle He;Peixuan Xue;Zongtao Yu,S0,Unmapped/Other
13,Applications in Energy and Combustion Science,Tianle He;Peixuan Xue;Zongtao Yu,S2,Rigor/Validation
13,Applications in Energy and Combustion Science,Tianle He;Peixuan Xue;Zongtao Yu,S0,Unmapped/Other
13,Applications in Energy and Combustion Science,Tianle He;Peixuan Xue;Zongtao Yu,S5,Scalability/Industrial Relevance
14,Fuel,Fatima Musa Ardo;Azubuike Hope Amadi;Joseph Eneotu,S7,Optimization/Performance
14,Fuel,Fatima Musa Ardo;Azubuike Hope Amadi;Joseph Eneotu,S0,Unmapped/Other
14,Fuel,Fatima Musa Ardo;Azubuike Hope Amadi;Joseph Eneotu,S0,Unmapped/Other
14,Fuel,Fatima Musa Ardo;Azubuike Hope Amadi;Joseph Eneotu,S2,Rigor/Validation
14,Fuel,Fatima Musa Ardo;Azubuike Hope Amadi;Joseph Eneotu,S0,Unmapped/Other
15,Energy,Mohammadreza Babaei Khuyinrud;Ali Shokri Kalan;Borhan Pourtalebi,S0,Unmapped/Other
15,Energy,Mohammadreza Babaei Khuyinrud;Ali Shokri Kalan;Borhan Pourtalebi,S8,Sustainability/Policy Integration
15,Energy,Mohammadreza Babaei Khuyinrud;Ali Shokri Kalan;Borhan Pourtalebi,S0,Unmapped/Other
15,Energy,Mohammadreza Babaei Khuyinrud;Ali Shokri Kalan;Borhan Pourtalebi,S7,Optimization/Performance
15,Energy,Mohammadreza Babaei Khuyinrud;Ali Shokri Kalan;Borhan Pourtalebi,S3,Comprehensiveness
16,International Journal of Hydrogen Energy,Robin van der Laag; Agnese Rizzato;Thomas BÃ¤ck;Yingjie Fan,S3,Comprehensiveness
16,International Journal of Hydrogen Energy,Robin van der Laag; Agnese Rizzato;Thomas BÃ¤ck;Yingjie Fan,S0,Unmapped/Other
16,International Journal of Hydrogen Energy,Robin van der Laag; Agnese Rizzato;Thomas BÃ¤ck;Yingjie Fan,S0,Unmapped/Other
16,International Journal of Hydrogen Energy,Robin van der Laag; Agnese Rizzato;Thomas BÃ¤ck;Yingjie Fan,S0,Unmapped/Other
16,International Journal of Hydrogen Energy,Robin van der Laag; Agnese Rizzato;Thomas BÃ¤ck;Yingjie Fan,S0,Unmapped/Other
17,Cleaner Engineering and Technology,Thanadol Tuntiwongwat;Takashi Yukawa;Thongchai Rohitatisha Srinophakun;Kanit Manatura;Somboon Sukpancharoen;Seyedali Mirjalili,S7,Optimization/Performance
17,Cleaner Engineering and Technology,Thanadol Tuntiwongwat;Takashi Yukawa;Thongchai Rohitatisha Srinophakun;Kanit Manatura;Somboon Sukpancharoen;Seyedali Mirjalili,S0,Unmapped/Other
17,Cleaner Engineering and Technology,Thanadol Tuntiwongwat;Takashi Yukawa;Thongchai Rohitatisha Srinophakun;Kanit Manatura;Somboon Sukpancharoen;Seyedali Mirjalili,S4,Interpretability/Transparency
17,Cleaner Engineering and Technology,Thanadol Tuntiwongwat;Takashi Yukawa;Thongchai Rohitatisha Srinophakun;Kanit Manatura;Somboon Sukpancharoen;Seyedali Mirjalili,S5,Scalability/Industrial Relevance
17,Cleaner Engineering and Technology,Thanadol Tuntiwongwat;Takashi Yukawa;Thongchai Rohitatisha Srinophakun;Kanit Manatura;Somboon Sukpancharoen;Seyedali Mirjalili,S6,Open Science/Accessibility
18,International Journal of Hydrogen Energy,Ibrahim Shomope;Amaal Abdulraqeb Ali;Muhammad Tawalbeh;Amani Al-Othman;Fares Almomani,S0,Unmapped/Other
18,International Journal of Hydrogen Energy,Ibrahim Shomope;Amaal Abdulraqeb Ali;Muhammad Tawalbeh;Amani Al-Othman;Fares Almomani,S7,Optimization/Performance
18,International Journal of Hydrogen Energy,Ibrahim Shomope;Amaal Abdulraqeb Ali;Muhammad Tawalbeh;Amani Al-Othman;Fares Almomani,S0,Unmapped/Other
18,International Journal of Hydrogen Energy,Ibrahim Shomope;Amaal Abdulraqeb Ali;Muhammad Tawalbeh;Amani Al-Othman;Fares Almomani,S0,Unmapped/Other
19,Renewable Energy,Josef Marousek;Beata Gavurova;Anna Marouskova,S0,Unmapped/Other
19,Renewable Energy,Josef Marousek;Beata Gavurova;Anna Marouskova,S0,Unmapped/Other
19,Renewable Energy,Josef Marousek;Beata Gavurova;Anna Marouskova,S0,Unmapped/Other
19,Renewable Energy,Josef Marousek;Beata Gavurova;Anna Marouskova,S0,Unmapped/Other
19,Renewable Energy,Josef Marousek;Beata Gavurova;Anna Marouskova,S5,Scalability/Industrial Relevance
20,Energy,Beheshteh Moghadaspoor;Ali Bozorgi-Amiri;Reza Tavakkoli-Moghaddam;Mahdi Bashiri,S7,Optimization/Performance
20,Energy,Beheshteh Moghadaspoor;Ali Bozorgi-Amiri;Reza Tavakkoli-Moghaddam;Mahdi Bashiri,S0,Unmapped/Other
20,Energy,Beheshteh Moghadaspoor;Ali Bozorgi-Amiri;Reza Tavakkoli-Moghaddam;Mahdi Bashiri,S7,Optimization/Performance
20,Energy,Beheshteh Moghadaspoor;Ali Bozorgi-Amiri;Reza Tavakkoli-Moghaddam;Mahdi Bashiri,S2,Rigor/Validation
21,International Journal of Hydrogen Energy,Xianze Wang;Yifan Wang;Yu-Yao Tseng;Yidi Gao;Keqing Li;Ming-Hung Wang;Jinghui Wu;Chyi-How Lay;Mingxin Huo,S0,Unmapped/Other
21,International Journal of Hydrogen Energy,Xianze Wang;Yifan Wang;Yu-Yao Tseng;Yidi Gao;Keqing Li;Ming-Hung Wang;Jinghui Wu;Chyi-How Lay;Mingxin Huo,S0,Unmapped/Other
21,International Journal of Hydrogen Energy,Xianze Wang;Yifan Wang;Yu-Yao Tseng;Yidi Gao;Keqing Li;Ming-Hung Wang;Jinghui Wu;Chyi-How Lay;Mingxin Huo,S4,Interpretability/Transparency
21,International Journal of Hydrogen Energy,Xianze Wang;Yifan Wang;Yu-Yao Tseng;Yidi Gao;Keqing Li;Ming-Hung Wang;Jinghui Wu;Chyi-How Lay;Mingxin Huo,S5,Scalability/Industrial Relevance
22,International Journal of Hydrogen Energy,Behrouz Nemati;Mohammadreza Kamali;Sara Zandi;Tejraj M. Aminabhavi;Raf Dewil;Juan M. Corchado;M. Elisabete V. Costa;Isabel Capela,S7,Optimization/Performance
22,International Journal of Hydrogen Energy,Behrouz Nemati;Mohammadreza Kamali;Sara Zandi;Tejraj M. Aminabhavi;Raf Dewil;Juan M. Corchado;M. Elisabete V. Costa;Isabel Capela,S0,Unmapped/Other
22,International Journal of Hydrogen Energy,Behrouz Nemati;Mohammadreza Kamali;Sara Zandi;Tejraj M. Aminabhavi;Raf Dewil;Juan M. Corchado;M. Elisabete V. Costa;Isabel Capela,S7,Optimization/Performance
22,International Journal of Hydrogen Energy,Behrouz Nemati;Mohammadreza Kamali;Sara Zandi;Tejraj M. Aminabhavi;Raf Dewil;Juan M. Corchado;M. Elisabete V. Costa;Isabel Capela,S0,Unmapped/Other
22,International Journal of Hydrogen Energy,Behrouz Nemati;Mohammadreza Kamali;Sara Zandi;Tejraj M. Aminabhavi;Raf Dewil;Juan M. Corchado;M. Elisabete V. Costa;Isabel Capela,S5,Scalability/Industrial Relevance
23,Journal of Agriculture and Food Research,Ismail Adeleke;Oluwafemi Ayodeji Adebo;Nnamdi Nwulu,S0,Unmapped/Other
23,Journal of Agriculture and Food Research,Ismail Adeleke;Oluwafemi Ayodeji Adebo;Nnamdi Nwulu,S2,Rigor/Validation
23,Journal of Agriculture and Food Research,Ismail Adeleke;Oluwafemi Ayodeji Adebo;Nnamdi Nwulu,S0,Unmapped/Other
23,Journal of Agriculture and Food Research,Ismail Adeleke;Oluwafemi Ayodeji Adebo;Nnamdi Nwulu,S0,Unmapped/Other
24,International Journal of Hydrogen Energy,Atieh Fahimi Bandpey;Jafar Abdi;Tahere Taghizade Firozjaee,S0,Unmapped/Other
24,International Journal of Hydrogen Energy,Atieh Fahimi Bandpey;Jafar Abdi;Tahere Taghizade Firozjaee,S4,Interpretability/Transparency
24,International Journal of Hydrogen Energy,Atieh Fahimi Bandpey;Jafar Abdi;Tahere Taghizade Firozjaee,S0,Unmapped/Other
24,International Journal of Hydrogen Energy,Atieh Fahimi Bandpey;Jafar Abdi;Tahere Taghizade Firozjaee,S4,Interpretability/Transparency
25,International Journal of Hydrogen Energy,Van Tuan Dang;Wei-Hsin Chen;Anh Tuan Hoang;M. Olga Guerrero-P ?erez;Enrique RodrÃ­guez-Castellon;MarÃ­a Cruz Lopez-Escalante;Minh Chuong Nguyen;Thi Anh Em Bui;Thanh Hai Truong;Xuan Phuong Nguyen,S7,Optimization/Performance
25,International Journal of Hydrogen Energy,Van Tuan Dang;Wei-Hsin Chen;Anh Tuan Hoang;M. Olga Guerrero-P ?erez;Enrique RodrÃ­guez-Castellon;MarÃ­a Cruz Lopez-Escalante;Minh Chuong Nguyen;Thi Anh Em Bui;Thanh Hai Truong;Xuan Phuong Nguyen,S1,Novelty/Innovation
25,International Journal of Hydrogen Energy,Van Tuan Dang;Wei-Hsin Chen;Anh Tuan Hoang;M. Olga Guerrero-P ?erez;Enrique RodrÃ­guez-Castellon;MarÃ­a Cruz Lopez-Escalante;Minh Chuong Nguyen;Thi Anh Em Bui;Thanh Hai Truong;Xuan Phuong Nguyen,S0,Unmapped/Other
25,International Journal of Hydrogen Energy,Van Tuan Dang;Wei-Hsin Chen;Anh Tuan Hoang;M. Olga Guerrero-P ?erez;Enrique RodrÃ­guez-Castellon;MarÃ­a Cruz Lopez-Escalante;Minh Chuong Nguyen;Thi Anh Em Bui;Thanh Hai Truong;Xuan Phuong Nguyen,S4,Interpretability/Transparency
25,International Journal of Hydrogen Energy,Van Tuan Dang;Wei-Hsin Chen;Anh Tuan Hoang;M. Olga Guerrero-P ?erez;Enrique RodrÃ­guez-Castellon;MarÃ­a Cruz Lopez-Escalante;Minh Chuong Nguyen;Thi Anh Em Bui;Thanh Hai Truong;Xuan Phuong Nguyen,S0,Unmapped/Other
26,Journal of Molecular Structure,Suleiman Mousa;Mohammed E. Ali Mohsin,S7,Optimization/Performance
26,Journal of Molecular Structure,Suleiman Mousa;Mohammed E. Ali Mohsin,S0,Unmapped/Other
26,Journal of Molecular Structure,Suleiman Mousa;Mohammed E. Ali Mohsin,S0,Unmapped/Other
26,Journal of Molecular Structure,Suleiman Mousa;Mohammed E. Ali Mohsin,S5,Scalability/Industrial Relevance
27,Chemical Engineering Journal,Wen-ming Zhang;Bin Hu;Bo-yuan Zheng;Ji Liu;Qi Niu;Kai Li;Zhi-mo Fang;Bing Zhang;Qiang Lu,S0,Unmapped/Other
27,Chemical Engineering Journal,Wen-ming Zhang;Bin Hu;Bo-yuan Zheng;Ji Liu;Qi Niu;Kai Li;Zhi-mo Fang;Bing Zhang;Qiang Lu,S4,Interpretability/Transparency
27,Chemical Engineering Journal,Wen-ming Zhang;Bin Hu;Bo-yuan Zheng;Ji Liu;Qi Niu;Kai Li;Zhi-mo Fang;Bing Zhang;Qiang Lu,S4,Interpretability/Transparency
27,Chemical Engineering Journal,Wen-ming Zhang;Bin Hu;Bo-yuan Zheng;Ji Liu;Qi Niu;Kai Li;Zhi-mo Fang;Bing Zhang;Qiang Lu,S0,Unmapped/Other
28,Energy,Anh Tuan Hoang;Wei-Hsin Chen;M. Olga Guerrero-P ?erez;Enrique-RodrÃ­guez Castellon;MarÃ­a Cruz Lopez-Escalante;Van Nhanh Nguyen;Prabhu Paramasivam;Xuan Phuong Nguyen;Thanh Hai Truong,S7,Optimization/Performance
28,Energy,Anh Tuan Hoang;Wei-Hsin Chen;M. Olga Guerrero-P ?erez;Enrique-RodrÃ­guez Castellon;MarÃ­a Cruz Lopez-Escalante;Van Nhanh Nguyen;Prabhu Paramasivam;Xuan Phuong Nguyen;Thanh Hai Truong,S4,Interpretability/Transparency
28,Energy,Anh Tuan Hoang;Wei-Hsin Chen;M. Olga Guerrero-P ?erez;Enrique-RodrÃ­guez Castellon;MarÃ­a Cruz Lopez-Escalante;Van Nhanh Nguyen;Prabhu Paramasivam;Xuan Phuong Nguyen;Thanh Hai Truong,S7,Optimization/Performance
28,Energy,Anh Tuan Hoang;Wei-Hsin Chen;M. Olga Guerrero-P ?erez;Enrique-RodrÃ­guez Castellon;MarÃ­a Cruz Lopez-Escalante;Van Nhanh Nguyen;Prabhu Paramasivam;Xuan Phuong Nguyen;Thanh Hai Truong,S0,Unmapped/Other
29,Environmental Pollution,Abu Danish Aiman Bin Abu Sofian;Hooi Ren Lim;Kit Wayne Chew;Kuan Shiong Khoo;Inn Shi Tan;Zengling Ma;Pau Loke Show,S3,Comprehensiveness
29,Environmental Pollution,Abu Danish Aiman Bin Abu Sofian;Hooi Ren Lim;Kit Wayne Chew;Kuan Shiong Khoo;Inn Shi Tan;Zengling Ma;Pau Loke Show,S7,Optimization/Performance
29,Environmental Pollution,Abu Danish Aiman Bin Abu Sofian;Hooi Ren Lim;Kit Wayne Chew;Kuan Shiong Khoo;Inn Shi Tan;Zengling Ma;Pau Loke Show,S7,Optimization/Performance
29,Environmental Pollution,Abu Danish Aiman Bin Abu Sofian;Hooi Ren Lim;Kit Wayne Chew;Kuan Shiong Khoo;Inn Shi Tan;Zengling Ma;Pau Loke Show,S0,Unmapped/Other
